session_id,cart,checkout,purchase,view,view_to_cart_time,cart_to_checkout_time,checkout_to_purchase_time
1,2024-01-27 18:46:00,2024-01-27 18:47:00,2024-01-27 18:51:00,2024-01-27 18:42:00,4.0,1.0,4.0
2,,,,2024-01-12 20:46:00,,,
3,,,,2024-01-25 19:17:00,,,
4,2024-01-31 17:14:00,,,2024-01-31 17:13:00,1.0,,
5,,,,2024-01-25 02:36:00,,,
6,2024-01-04 16:29:00,2024-01-04 16:30:00,2024-01-04 16:34:00,2024-01-04 16:25:00,4.0,1.0,4.0
7,2024-01-21 11:36:00,,,2024-01-21 11:35:00,1.0,,
8,,,,2024-01-22 08:58:00,,,
9,2024-01-21 21:28:00,2024-01-21 21:32:00,,2024-01-21 21:26:00,2.0,4.0,
10,2024-02-03 05:07:00,,,2024-02-03 05:03:00,4.0,,
11,,,,2024-01-29 10:21:00,,,
12,,,,2024-02-04 05:17:00,,,
13,,,,2024-01-01 10:32:00,,,
14,2024-01-27 01:37:00,2024-01-27 01:38:00,2024-01-27 01:42:00,2024-01-27 01:35:00,2.0,1.0,4.0
15,2024-01-31 10:43:00,2024-01-31 10:47:00,,2024-01-31 10:42:00,1.0,4.0,
16,,,,2024-01-01 01:31:00,,,
17,,,,2024-02-04 11:20:00,,,
18,,,,2024-01-08 15:58:00,,,
19,,,,2024-01-28 20:33:00,,,
20,,,,2024-01-20 06:24:00,,,
21,2024-02-02 07:41:00,2024-02-02 07:44:00,,2024-02-02 07:38:00,3.0,3.0,
22,,,,2024-01-17 18:19:00,,,
23,2024-02-01 10:31:00,2024-02-01 10:33:00,2024-02-01 10:36:00,2024-02-01 10:27:00,4.0,2.0,3.0
24,,,,2024-01-25 13:58:00,,,
25,,,,2024-01-27 22:01:00,,,
26,,,,2024-01-06 01:48:00,,,
27,2024-01-08 01:40:00,,,2024-01-08 01:37:00,3.0,,
28,2024-01-13 04:23:00,,,2024-01-13 04:20:00,3.0,,
29,,,,2024-01-26 15:18:00,,,
30,,,,2024-01-01 14:41:00,,,
31,,,,2024-02-04 16:25:00,,,
32,2024-01-26 02:38:00,,,2024-01-26 02:35:00,3.0,,
33,2024-01-29 21:18:00,2024-01-29 21:21:00,2024-01-29 21:25:00,2024-01-29 21:17:00,1.0,3.0,4.0
34,,,,2024-02-04 02:51:00,,,
35,,,,2024-01-25 13:06:00,,,
36,,,,2024-02-03 12:48:00,,,
37,,,,2024-01-23 20:45:00,,,
38,,,,2024-02-02 09:10:00,,,
39,,,,2024-01-27 23:46:00,,,
40,,,,2024-01-29 03:41:00,,,
41,,,,2024-01-03 07:25:00,,,
42,2024-01-12 18:53:00,2024-01-12 18:55:00,2024-01-12 18:57:00,2024-01-12 18:52:00,1.0,2.0,2.0
43,2024-01-12 08:22:00,2024-01-12 08:24:00,2024-01-12 08:27:00,2024-01-12 08:18:00,4.0,2.0,3.0
44,2024-01-15 17:49:00,2024-01-15 17:53:00,,2024-01-15 17:45:00,4.0,4.0,
45,,,,2024-01-01 21:30:00,,,
46,,,,2024-01-09 17:56:00,,,
47,,,,2024-01-20 23:54:00,,,
48,2024-01-26 03:51:00,2024-01-26 03:53:00,2024-01-26 03:55:00,2024-01-26 03:47:00,4.0,2.0,2.0
49,,,,2024-01-09 19:12:00,,,
50,2024-01-03 23:36:00,2024-01-03 23:39:00,2024-01-03 23:40:00,2024-01-03 23:33:00,3.0,3.0,1.0
51,2024-01-10 07:01:00,2024-01-10 07:03:00,2024-01-10 07:05:00,2024-01-10 06:58:00,3.0,2.0,2.0
52,,,,2024-01-18 09:43:00,,,
53,2024-01-30 08:03:00,,,2024-01-30 08:02:00,1.0,,
54,,,,2024-01-27 15:28:00,,,
55,2024-01-22 22:28:00,2024-01-22 22:30:00,2024-01-22 22:34:00,2024-01-22 22:26:00,2.0,2.0,4.0
56,2024-01-26 13:56:00,,,2024-01-26 13:52:00,4.0,,
57,,,,2024-01-12 10:04:00,,,
58,2024-01-23 03:46:00,,,2024-01-23 03:43:00,3.0,,
59,,,,2024-01-14 09:19:00,,,
60,,,,2024-01-31 08:18:00,,,
61,,,,2024-01-27 06:20:00,,,
62,,,,2024-01-05 01:27:00,,,
63,2024-01-24 12:55:00,,,2024-01-24 12:54:00,1.0,,
64,,,,2024-01-20 04:14:00,,,
65,2024-01-10 18:07:00,2024-01-10 18:10:00,2024-01-10 18:11:00,2024-01-10 18:03:00,4.0,3.0,1.0
66,,,,2024-01-10 09:53:00,,,
67,2024-01-17 08:17:00,2024-01-17 08:20:00,2024-01-17 08:23:00,2024-01-17 08:13:00,4.0,3.0,3.0
68,2024-01-29 17:32:00,2024-01-29 17:34:00,2024-01-29 17:36:00,2024-01-29 17:29:00,3.0,2.0,2.0
69,2024-01-13 17:28:00,,,2024-01-13 17:26:00,2.0,,
70,2024-02-01 15:51:00,2024-02-01 15:54:00,2024-02-01 15:58:00,2024-02-01 15:49:00,2.0,3.0,4.0
71,2024-01-28 12:38:00,2024-01-28 12:40:00,2024-01-28 12:43:00,2024-01-28 12:35:00,3.0,2.0,3.0
72,2024-01-04 17:38:00,,,2024-01-04 17:35:00,3.0,,
73,2024-01-22 03:02:00,2024-01-22 03:06:00,2024-01-22 03:08:00,2024-01-22 03:00:00,2.0,4.0,2.0
74,2024-01-23 04:26:00,2024-01-23 04:29:00,,2024-01-23 04:22:00,4.0,3.0,
75,,,,2024-02-01 19:18:00,,,
76,2024-01-18 08:45:00,2024-01-18 08:47:00,2024-01-18 08:50:00,2024-01-18 08:44:00,1.0,2.0,3.0
77,2024-01-04 16:38:00,2024-01-04 16:39:00,,2024-01-04 16:36:00,2.0,1.0,
78,2024-01-01 02:38:00,2024-01-01 02:41:00,,2024-01-01 02:36:00,2.0,3.0,
79,2024-01-26 09:21:00,,,2024-01-26 09:19:00,2.0,,
80,2024-02-03 01:04:00,2024-02-03 01:05:00,,2024-02-03 01:03:00,1.0,1.0,
81,2024-01-16 13:10:00,2024-01-16 13:13:00,2024-01-16 13:17:00,2024-01-16 13:07:00,3.0,3.0,4.0
82,2024-01-14 01:21:00,2024-01-14 01:24:00,,2024-01-14 01:17:00,4.0,3.0,
83,,,,2024-01-25 09:48:00,,,
84,2024-01-05 13:53:00,,,2024-01-05 13:52:00,1.0,,
85,,,,2024-01-06 20:58:00,,,
86,,,,2024-01-06 18:42:00,,,
87,2024-01-04 21:45:00,,,2024-01-04 21:42:00,3.0,,
88,2024-01-17 10:25:00,2024-01-17 10:27:00,2024-01-17 10:30:00,2024-01-17 10:22:00,3.0,2.0,3.0
89,,,,2024-01-02 21:39:00,,,
90,,,,2024-01-14 10:13:00,,,
91,,,,2024-01-07 09:49:00,,,
92,2024-02-03 15:45:00,,,2024-02-03 15:43:00,2.0,,
93,2024-01-09 19:08:00,2024-01-09 19:12:00,,2024-01-09 19:04:00,4.0,4.0,
94,2024-01-07 11:26:00,2024-01-07 11:29:00,2024-01-07 11:31:00,2024-01-07 11:24:00,2.0,3.0,2.0
95,2024-01-09 07:46:00,2024-01-09 07:49:00,,2024-01-09 07:43:00,3.0,3.0,
96,2024-01-14 02:51:00,2024-01-14 02:53:00,2024-01-14 02:55:00,2024-01-14 02:50:00,1.0,2.0,2.0
97,2024-01-22 00:19:00,,,2024-01-22 00:16:00,3.0,,
98,2024-01-16 03:51:00,2024-01-16 03:52:00,2024-01-16 03:54:00,2024-01-16 03:49:00,2.0,1.0,2.0
99,,,,2024-01-13 18:01:00,,,
100,2024-02-03 22:55:00,,,2024-02-03 22:54:00,1.0,,
101,2024-01-08 13:12:00,2024-01-08 13:13:00,2024-01-08 13:14:00,2024-01-08 13:11:00,1.0,1.0,1.0
102,,,,2024-01-15 15:30:00,,,
103,2024-01-19 13:04:00,2024-01-19 13:06:00,2024-01-19 13:07:00,2024-01-19 13:03:00,1.0,2.0,1.0
104,2024-01-11 05:54:00,,,2024-01-11 05:51:00,3.0,,
105,2024-01-31 07:51:00,2024-01-31 07:55:00,2024-01-31 07:59:00,2024-01-31 07:49:00,2.0,4.0,4.0
106,,,,2024-02-01 19:00:00,,,
107,,,,2024-02-03 09:34:00,,,
108,2024-01-01 23:45:00,,,2024-01-01 23:41:00,4.0,,
109,2024-01-14 00:33:00,2024-01-14 00:36:00,2024-01-14 00:37:00,2024-01-14 00:30:00,3.0,3.0,1.0
110,,,,2024-01-14 16:19:00,,,
111,2024-01-19 11:00:00,2024-01-19 11:02:00,,2024-01-19 10:59:00,1.0,2.0,
112,2024-01-12 04:04:00,2024-01-12 04:08:00,,2024-01-12 04:00:00,4.0,4.0,
113,2024-01-12 05:55:00,,,2024-01-12 05:52:00,3.0,,
114,2024-01-13 15:05:00,2024-01-13 15:08:00,2024-01-13 15:09:00,2024-01-13 15:03:00,2.0,3.0,1.0
115,2024-01-27 18:38:00,2024-01-27 18:40:00,,2024-01-27 18:35:00,3.0,2.0,
116,2024-01-04 23:20:00,,,2024-01-04 23:16:00,4.0,,
117,2024-01-22 11:44:00,2024-01-22 11:45:00,2024-01-22 11:49:00,2024-01-22 11:42:00,2.0,1.0,4.0
118,2024-01-14 16:37:00,2024-01-14 16:40:00,2024-01-14 16:44:00,2024-01-14 16:33:00,4.0,3.0,4.0
119,2024-01-11 10:36:00,2024-01-11 10:37:00,,2024-01-11 10:34:00,2.0,1.0,
120,,,,2024-01-22 23:27:00,,,
121,2024-01-12 16:07:00,2024-01-12 16:08:00,,2024-01-12 16:04:00,3.0,1.0,
122,2024-01-02 15:57:00,2024-01-02 16:01:00,,2024-01-02 15:53:00,4.0,4.0,
123,,,,2024-01-17 11:51:00,,,
124,2024-01-13 04:33:00,,,2024-01-13 04:31:00,2.0,,
125,,,,2024-01-06 13:30:00,,,
126,,,,2024-01-18 23:05:00,,,
127,,,,2024-01-09 17:41:00,,,
128,2024-01-15 16:58:00,2024-01-15 17:00:00,2024-01-15 17:04:00,2024-01-15 16:57:00,1.0,2.0,4.0
129,2024-01-15 18:52:00,,,2024-01-15 18:50:00,2.0,,
130,,,,2024-01-03 03:20:00,,,
131,,,,2024-02-04 05:51:00,,,
132,,,,2024-01-06 22:13:00,,,
133,2024-02-02 17:01:00,,,2024-02-02 16:59:00,2.0,,
134,,,,2024-01-09 09:40:00,,,
135,2024-01-08 22:45:00,2024-01-08 22:46:00,2024-01-08 22:50:00,2024-01-08 22:43:00,2.0,1.0,4.0
136,2024-01-14 19:36:00,2024-01-14 19:40:00,2024-01-14 19:41:00,2024-01-14 19:35:00,1.0,4.0,1.0
137,2024-01-15 18:54:00,,,2024-01-15 18:50:00,4.0,,
138,,,,2024-01-06 10:30:00,,,
139,,,,2024-02-01 23:42:00,,,
140,2024-01-06 17:59:00,2024-01-06 18:02:00,2024-01-06 18:03:00,2024-01-06 17:55:00,4.0,3.0,1.0
141,2024-01-23 07:08:00,,,2024-01-23 07:06:00,2.0,,
142,2024-02-02 09:11:00,2024-02-02 09:14:00,2024-02-02 09:17:00,2024-02-02 09:08:00,3.0,3.0,3.0
143,2024-01-17 05:52:00,2024-01-17 05:56:00,2024-01-17 05:59:00,2024-01-17 05:49:00,3.0,4.0,3.0
144,2024-01-17 21:24:00,,,2024-01-17 21:22:00,2.0,,
145,,,,2024-01-10 07:57:00,,,
146,2024-01-09 09:51:00,,,2024-01-09 09:48:00,3.0,,
147,2024-01-28 07:04:00,2024-01-28 07:08:00,2024-01-28 07:11:00,2024-01-28 07:03:00,1.0,4.0,3.0
148,2024-01-15 23:03:00,,,2024-01-15 22:59:00,4.0,,
149,,,,2024-01-10 22:12:00,,,
150,2024-01-19 17:10:00,2024-01-19 17:13:00,2024-01-19 17:14:00,2024-01-19 17:08:00,2.0,3.0,1.0
151,,,,2024-01-30 08:23:00,,,
152,,,,2024-01-16 13:53:00,,,
153,,,,2024-01-02 13:15:00,,,
154,2024-01-15 18:32:00,2024-01-15 18:36:00,2024-01-15 18:40:00,2024-01-15 18:30:00,2.0,4.0,4.0
155,,,,2024-01-31 05:51:00,,,
156,2024-01-16 19:24:00,,,2024-01-16 19:22:00,2.0,,
157,,,,2024-01-30 12:55:00,,,
158,2024-01-03 21:19:00,2024-01-03 21:21:00,2024-01-03 21:24:00,2024-01-03 21:16:00,3.0,2.0,3.0
159,2024-01-03 19:49:00,2024-01-03 19:53:00,2024-01-03 19:57:00,2024-01-03 19:45:00,4.0,4.0,4.0
160,,,,2024-01-15 21:03:00,,,
161,,,,2024-01-08 23:07:00,,,
162,2024-02-03 22:42:00,2024-02-03 22:44:00,2024-02-03 22:45:00,2024-02-03 22:41:00,1.0,2.0,1.0
163,,,,2024-01-27 21:49:00,,,
164,,,,2024-01-23 15:09:00,,,
165,2024-02-02 12:33:00,2024-02-02 12:37:00,2024-02-02 12:39:00,2024-02-02 12:32:00,1.0,4.0,2.0
166,2024-01-18 23:50:00,2024-01-18 23:51:00,2024-01-18 23:55:00,2024-01-18 23:48:00,2.0,1.0,4.0
167,2024-01-13 15:13:00,2024-01-13 15:16:00,2024-01-13 15:20:00,2024-01-13 15:12:00,1.0,3.0,4.0
168,,,,2024-02-01 17:42:00,,,
169,,,,2024-01-22 04:38:00,,,
170,2024-01-31 19:37:00,2024-01-31 19:40:00,,2024-01-31 19:34:00,3.0,3.0,
171,2024-01-19 18:04:00,2024-01-19 18:08:00,2024-01-19 18:10:00,2024-01-19 18:03:00,1.0,4.0,2.0
172,2024-01-28 06:23:00,2024-01-28 06:24:00,2024-01-28 06:26:00,2024-01-28 06:22:00,1.0,1.0,2.0
173,2024-01-12 20:36:00,,,2024-01-12 20:35:00,1.0,,
174,2024-01-22 08:08:00,,,2024-01-22 08:07:00,1.0,,
175,,,,2024-01-27 12:07:00,,,
176,2024-01-25 16:46:00,,,2024-01-25 16:44:00,2.0,,
177,2024-01-29 18:24:00,2024-01-29 18:27:00,2024-01-29 18:30:00,2024-01-29 18:21:00,3.0,3.0,3.0
178,2024-01-19 14:01:00,2024-01-19 14:04:00,2024-01-19 14:07:00,2024-01-19 13:58:00,3.0,3.0,3.0
179,2024-01-20 00:54:00,2024-01-20 00:56:00,2024-01-20 00:58:00,2024-01-20 00:53:00,1.0,2.0,2.0
180,2024-01-31 23:07:00,2024-01-31 23:08:00,2024-01-31 23:09:00,2024-01-31 23:06:00,1.0,1.0,1.0
181,2024-02-03 05:27:00,2024-02-03 05:29:00,2024-02-03 05:31:00,2024-02-03 05:23:00,4.0,2.0,2.0
182,2024-01-25 08:48:00,2024-01-25 08:49:00,2024-01-25 08:50:00,2024-01-25 08:45:00,3.0,1.0,1.0
183,2024-01-15 18:26:00,2024-01-15 18:30:00,2024-01-15 18:33:00,2024-01-15 18:23:00,3.0,4.0,3.0
184,2024-01-15 16:16:00,2024-01-15 16:20:00,2024-01-15 16:21:00,2024-01-15 16:14:00,2.0,4.0,1.0
185,,,,2024-01-16 05:05:00,,,
186,,,,2024-01-25 02:15:00,,,
187,2024-01-23 18:34:00,,,2024-01-23 18:30:00,4.0,,
188,2024-01-11 02:45:00,2024-01-11 02:46:00,2024-01-11 02:50:00,2024-01-11 02:41:00,4.0,1.0,4.0
189,2024-01-24 21:26:00,,,2024-01-24 21:25:00,1.0,,
190,2024-01-19 19:44:00,,,2024-01-19 19:41:00,3.0,,
191,,,,2024-01-15 10:27:00,,,
192,2024-01-25 18:21:00,,,2024-01-25 18:18:00,3.0,,
193,2024-01-03 01:09:00,2024-01-03 01:12:00,2024-01-03 01:15:00,2024-01-03 01:05:00,4.0,3.0,3.0
194,2024-01-26 09:28:00,,,2024-01-26 09:26:00,2.0,,
195,2024-01-07 10:19:00,,,2024-01-07 10:17:00,2.0,,
196,2024-01-19 08:03:00,2024-01-19 08:05:00,2024-01-19 08:06:00,2024-01-19 08:00:00,3.0,2.0,1.0
197,,,,2024-01-11 18:23:00,,,
198,,,,2024-01-16 12:41:00,,,
199,,,,2024-01-31 16:13:00,,,
200,2024-01-27 01:47:00,2024-01-27 01:51:00,,2024-01-27 01:46:00,1.0,4.0,
201,2024-01-09 00:20:00,2024-01-09 00:23:00,,2024-01-09 00:17:00,3.0,3.0,
202,2024-01-08 00:31:00,2024-01-08 00:35:00,2024-01-08 00:38:00,2024-01-08 00:29:00,2.0,4.0,3.0
203,,,,2024-01-19 07:51:00,,,
204,2024-02-04 10:39:00,2024-02-04 10:43:00,2024-02-04 10:45:00,2024-02-04 10:36:00,3.0,4.0,2.0
205,,,,2024-01-11 16:29:00,,,
206,2024-01-25 07:32:00,2024-01-25 07:33:00,2024-01-25 07:34:00,2024-01-25 07:28:00,4.0,1.0,1.0
207,2024-01-20 02:36:00,,,2024-01-20 02:34:00,2.0,,
208,,,,2024-01-11 14:59:00,,,
209,,,,2024-01-09 21:47:00,,,
210,2024-01-05 12:35:00,2024-01-05 12:37:00,,2024-01-05 12:32:00,3.0,2.0,
211,2024-01-21 05:27:00,,,2024-01-21 05:25:00,2.0,,
212,2024-01-13 10:13:00,2024-01-13 10:14:00,2024-01-13 10:15:00,2024-01-13 10:11:00,2.0,1.0,1.0
213,2024-01-01 19:02:00,,,2024-01-01 18:59:00,3.0,,
214,2024-01-13 08:40:00,2024-01-13 08:42:00,2024-01-13 08:43:00,2024-01-13 08:38:00,2.0,2.0,1.0
215,2024-01-06 10:37:00,,,2024-01-06 10:33:00,4.0,,
216,,,,2024-01-10 01:23:00,,,
217,2024-01-08 23:23:00,2024-01-08 23:27:00,2024-01-08 23:28:00,2024-01-08 23:21:00,2.0,4.0,1.0
218,2024-01-16 00:23:00,,,2024-01-16 00:22:00,1.0,,
219,,,,2024-02-04 10:31:00,,,
220,,,,2024-01-16 02:20:00,,,
221,,,,2024-01-14 12:36:00,,,
222,2024-01-23 12:36:00,2024-01-23 12:37:00,2024-01-23 12:40:00,2024-01-23 12:32:00,4.0,1.0,3.0
223,,,,2024-01-30 16:21:00,,,
224,,,,2024-01-13 11:58:00,,,
225,2024-01-24 22:01:00,2024-01-24 22:03:00,2024-01-24 22:06:00,2024-01-24 21:58:00,3.0,2.0,3.0
226,,,,2024-01-26 03:19:00,,,
227,2024-01-12 22:56:00,2024-01-12 22:59:00,2024-01-12 23:02:00,2024-01-12 22:52:00,4.0,3.0,3.0
228,2024-01-09 03:07:00,2024-01-09 03:11:00,2024-01-09 03:15:00,2024-01-09 03:04:00,3.0,4.0,4.0
229,,,,2024-02-03 14:20:00,,,
230,,,,2024-01-10 11:37:00,,,
231,2024-01-04 14:30:00,2024-01-04 14:34:00,,2024-01-04 14:27:00,3.0,4.0,
232,2024-01-06 03:25:00,2024-01-06 03:26:00,2024-01-06 03:29:00,2024-01-06 03:24:00,1.0,1.0,3.0
233,,,,2024-01-27 23:31:00,,,
234,,,,2024-01-30 23:15:00,,,
235,,,,2024-02-02 05:15:00,,,
236,,,,2024-01-23 06:44:00,,,
237,2024-01-11 03:03:00,2024-01-11 03:04:00,,2024-01-11 03:01:00,2.0,1.0,
