user_id,session_id,event_time,event_type,product_id,category,price,device_type,user_type,price_bucket,event_date,event_hour
1244,1,2024-01-27 18:42:00,view,1052,Beauty,162,Mobile,Returning,Medium,2024-01-27,18
1244,1,2024-01-27 18:46:00,cart,1052,Beauty,162,Mobile,Returning,Medium,2024-01-27,18
1244,1,2024-01-27 18:47:00,checkout,1052,Beauty,162,Mobile,Returning,Medium,2024-01-27,18
1244,1,2024-01-27 18:51:00,purchase,1052,Beauty,162,Mobile,Returning,Medium,2024-01-27,18
903,2,2024-01-12 20:46:00,view,1082,Home,437,Mobile,New,Medium,2024-01-12,20
163,3,2024-01-25 19:17:00,view,1781,Fashion,747,Desktop,Returning,High,2024-01-25,19
1975,4,2024-01-31 17:13:00,view,1419,Home,299,Mobile,New,Medium,2024-01-31,17
1975,4,2024-01-31 17:14:00,cart,1419,Home,299,Mobile,New,Medium,2024-01-31,17
1244,5,2024-01-25 02:36:00,view,1958,Fashion,996,Mobile,Returning,High,2024-01-25,2
270,6,2024-01-04 16:25:00,view,1206,Electronics,918,Desktop,New,High,2024-01-04,16
270,6,2024-01-04 16:29:00,cart,1206,Electronics,918,Desktop,New,High,2024-01-04,16
270,6,2024-01-04 16:30:00,checkout,1206,Electronics,918,Desktop,New,High,2024-01-04,16
270,6,2024-01-04 16:34:00,purchase,1206,Electronics,918,Desktop,New,High,2024-01-04,16
632,7,2024-01-21 11:35:00,view,1993,Fashion,268,Mobile,Returning,Medium,2024-01-21,11
632,7,2024-01-21 11:36:00,cart,1993,Fashion,268,Mobile,Returning,Medium,2024-01-21,11
906,8,2024-01-22 08:58:00,view,1872,Beauty,912,Mobile,Returning,High,2024-01-22,8
1872,9,2024-01-21 21:26:00,view,1813,Electronics,151,Tablet,New,Medium,2024-01-21,21
1872,9,2024-01-21 21:28:00,cart,1813,Electronics,151,Tablet,New,Medium,2024-01-21,21
1872,9,2024-01-21 21:32:00,checkout,1813,Electronics,151,Tablet,New,Medium,2024-01-21,21
1424,10,2024-02-03 05:03:00,view,1701,Fashion,78,Mobile,New,Low,2024-02-03,5
1424,10,2024-02-03 05:07:00,cart,1701,Fashion,78,Mobile,New,Low,2024-02-03,5
1206,11,2024-01-29 10:21:00,view,1407,Beauty,989,Desktop,Returning,High,2024-01-29,10
1642,12,2024-02-04 05:17:00,view,1030,Home,834,Mobile,Returning,High,2024-02-04,5
1753,13,2024-01-01 10:32:00,view,1668,Fashion,216,Mobile,New,Medium,2024-01-01,10
205,14,2024-01-27 01:35:00,view,1411,Electronics,396,Mobile,Returning,Medium,2024-01-27,1
205,14,2024-01-27 01:37:00,cart,1411,Electronics,396,Mobile,Returning,Medium,2024-01-27,1
205,14,2024-01-27 01:38:00,checkout,1411,Electronics,396,Mobile,Returning,Medium,2024-01-27,1
205,14,2024-01-27 01:42:00,purchase,1411,Electronics,396,Mobile,Returning,Medium,2024-01-27,1
582,15,2024-01-31 10:42:00,view,1964,Fashion,972,Mobile,Returning,High,2024-01-31,10
582,15,2024-01-31 10:43:00,cart,1964,Fashion,972,Mobile,Returning,High,2024-01-31,10
582,15,2024-01-31 10:47:00,checkout,1964,Fashion,972,Mobile,Returning,High,2024-01-31,10
1580,16,2024-01-01 01:31:00,view,1991,Beauty,409,Mobile,New,Medium,2024-01-01,1
841,17,2024-02-04 11:20:00,view,1355,Beauty,897,Desktop,New,High,2024-02-04,11
1837,18,2024-01-08 15:58:00,view,1306,Electronics,725,Mobile,New,High,2024-01-08,15
1252,19,2024-01-28 20:33:00,view,1020,Home,444,Mobile,New,Medium,2024-01-28,20
1720,20,2024-01-20 06:24:00,view,1901,Fashion,254,Mobile,New,Medium,2024-01-20,6
1643,21,2024-02-02 07:38:00,view,1697,Fashion,85,Desktop,New,Low,2024-02-02,7
1643,21,2024-02-02 07:41:00,cart,1697,Fashion,85,Desktop,New,Low,2024-02-02,7
1643,21,2024-02-02 07:44:00,checkout,1697,Fashion,85,Desktop,New,Low,2024-02-02,7
596,22,2024-01-17 18:19:00,view,1701,Beauty,435,Mobile,New,Medium,2024-01-17,18
1874,23,2024-02-01 10:27:00,view,1147,Electronics,200,Mobile,Returning,Medium,2024-02-01,10
1874,23,2024-02-01 10:31:00,cart,1147,Electronics,200,Mobile,Returning,Medium,2024-02-01,10
1874,23,2024-02-01 10:33:00,checkout,1147,Electronics,200,Mobile,Returning,Medium,2024-02-01,10
1874,23,2024-02-01 10:36:00,purchase,1147,Electronics,200,Mobile,Returning,Medium,2024-02-01,10
250,24,2024-01-25 13:58:00,view,1837,Home,771,Mobile,Returning,High,2024-01-25,13
875,25,2024-01-27 22:01:00,view,1029,Home,634,Mobile,New,High,2024-01-27,22
1465,26,2024-01-06 01:48:00,view,1054,Fashion,430,Mobile,Returning,Medium,2024-01-06,1
1557,27,2024-01-08 01:37:00,view,1104,Electronics,555,Desktop,Returning,High,2024-01-08,1
1557,27,2024-01-08 01:40:00,cart,1104,Electronics,555,Desktop,Returning,High,2024-01-08,1
196,28,2024-01-13 04:20:00,view,1148,Electronics,626,Mobile,New,High,2024-01-13,4
196,28,2024-01-13 04:23:00,cart,1148,Electronics,626,Mobile,New,High,2024-01-13,4
690,29,2024-01-26 15:18:00,view,1786,Beauty,635,Mobile,New,High,2024-01-26,15
1953,30,2024-01-01 14:41:00,view,1452,Electronics,216,Mobile,New,Medium,2024-01-01,14
1543,31,2024-02-04 16:25:00,view,1753,Fashion,934,Desktop,New,High,2024-02-04,16
1094,32,2024-01-26 02:35:00,view,1175,Electronics,685,Mobile,New,High,2024-01-26,2
1094,32,2024-01-26 02:38:00,cart,1175,Electronics,685,Mobile,New,High,2024-01-26,2
639,33,2024-01-29 21:17:00,view,1201,Home,873,Mobile,New,High,2024-01-29,21
639,33,2024-01-29 21:18:00,cart,1201,Home,873,Mobile,New,High,2024-01-29,21
639,33,2024-01-29 21:21:00,checkout,1201,Home,873,Mobile,New,High,2024-01-29,21
639,33,2024-01-29 21:25:00,purchase,1201,Home,873,Mobile,New,High,2024-01-29,21
