user_id,session_id,event_time,event_type,product_id,category,price,device_type,user_type
1244,1,2024-01-27 18:42:00,view,1052,Beauty,162,Mobile,Returning
1244,1,2024-01-27 18:46:00,cart,1052,Beauty,162,Mobile,Returning
1244,1,2024-01-27 18:47:00,checkout,1052,Beauty,162,Mobile,Returning
1244,1,2024-01-27 18:51:00,purchase,1052,Beauty,162,Mobile,Returning
903,2,2024-01-12 20:46:00,view,1082,Home,437,Mobile,New
163,3,2024-01-25 19:17:00,view,1781,Fashion,747,Desktop,Returning
1975,4,2024-01-31 17:13:00,view,1419,Home,299,Mobile,New
1975,4,2024-01-31 17:14:00,cart,1419,Home,299,Mobile,New
1244,5,2024-01-25 02:36:00,view,1958,Fashion,996,Mobile,Returning
270,6,2024-01-04 16:25:00,view,1206,Electronics,918,Desktop,New
270,6,2024-01-04 16:29:00,cart,1206,Electronics,918,Desktop,New
270,6,2024-01-04 16:30:00,checkout,1206,Electronics,918,Desktop,New
270,6,2024-01-04 16:34:00,purchase,1206,Electronics,918,Desktop,New
632,7,2024-01-21 11:35:00,view,1993,Fashion,268,Mobile,Returning
632,7,2024-01-21 11:36:00,cart,1993,Fashion,268,Mobile,Returning
906,8,2024-01-22 08:58:00,view,1872,Beauty,912,Mobile,Returning
1872,9,2024-01-21 21:26:00,view,1813,Electronics,151,Tablet,New
1872,9,2024-01-21 21:28:00,cart,1813,Electronics,151,Tablet,New
1872,9,2024-01-21 21:32:00,checkout,1813,Electronics,151,Tablet,New
1424,10,2024-02-03 05:03:00,view,1701,Fashion,78,Mobile,New
1424,10,2024-02-03 05:07:00,cart,1701,Fashion,78,Mobile,New
1206,11,2024-01-29 10:21:00,view,1407,Beauty,989,Desktop,Returning
1642,12,2024-02-04 05:17:00,view,1030,Home,834,Mobile,Returning
1753,13,2024-01-01 10:32:00,view,1668,Fashion,216,Mobile,New
205,14,2024-01-27 01:35:00,view,1411,Electronics,396,Mobile,Returning
205,14,2024-01-27 01:37:00,cart,1411,Electronics,396,Mobile,Returning
205,14,2024-01-27 01:38:00,checkout,1411,Electronics,396,Mobile,Returning
205,14,2024-01-27 01:42:00,purchase,1411,Electronics,396,Mobile,Returning
582,15,2024-01-31 10:42:00,view,1964,Fashion,972,Mobile,Returning
582,15,2024-01-31 10:43:00,cart,1964,Fashion,972,Mobile,Returning
