session_id,carted,checked_out,purchased,viewed,revenue,category,device_type,user_type,price_bucket
1,1,1,1,1,162.0,Beauty,Mobile,Returning,Medium
2,0,0,0,1,0.0,Home,Mobile,New,Medium
3,0,0,0,1,0.0,Fashion,Desktop,Returning,High
4,1,0,0,1,0.0,Home,Mobile,New,Medium
5,0,0,0,1,0.0,Fashion,Mobile,Returning,High
6,1,1,1,1,918.0,Electronics,Desktop,New,High
7,1,0,0,1,0.0,Fashion,Mobile,Returning,Medium
8,0,0,0,1,0.0,Beauty,Mobile,Returning,High
9,1,1,0,1,0.0,Electronics,Tablet,New,Medium
10,1,0,0,1,0.0,Fashion,Mobile,New,Low
11,0,0,0,1,0.0,Beauty,Desktop,Returning,High
12,0,0,0,1,0.0,Home,Mobile,Returning,High
13,0,0,0,1,0.0,Fashion,Mobile,New,Medium
14,1,1,1,1,396.0,Electronics,Mobile,Returning,Medium
15,1,1,0,1,0.0,Fashion,Mobile,Returning,High
16,0,0,0,1,0.0,Beauty,Mobile,New,Medium
17,0,0,0,1,0.0,Beauty,Desktop,New,High
18,0,0,0,1,0.0,Electronics,Mobile,New,High
19,0,0,0,1,0.0,Home,Mobile,New,Medium
20,0,0,0,1,0.0,Fashion,Mobile,New,Medium
21,1,1,0,1,0.0,Fashion,Desktop,New,Low
22,0,0,0,1,0.0,Beauty,Mobile,New,Medium
23,1,1,1,1,200.0,Electronics,Mobile,Returning,Medium
24,0,0,0,1,0.0,Home,Mobile,Returning,High
25,0,0,0,1,0.0,Home,Mobile,New,High
26,0,0,0,1,0.0,Fashion,Mobile,Returning,Medium
27,1,0,0,1,0.0,Electronics,Desktop,Returning,High
28,1,0,0,1,0.0,Electronics,Mobile,New,High
29,0,0,0,1,0.0,Beauty,Mobile,New,High
30,0,0,0,1,0.0,Electronics,Mobile,New,Medium
31,0,0,0,1,0.0,Fashion,Desktop,New,High
32,1,0,0,1,0.0,Electronics,Mobile,New,High
33,1,1,1,1,873.0,Home,Mobile,New,High
34,0,0,0,1,0.0,Electronics,Mobile,New,Medium
35,0,0,0,1,0.0,Fashion,Mobile,Returning,Medium
36,0,0,0,1,0.0,Home,Mobile,Returning,Low
37,0,0,0,1,0.0,Home,Mobile,New,Medium
38,0,0,0,1,0.0,Home,Mobile,Returning,High
39,0,0,0,1,0.0,Beauty,Mobile,Returning,Medium
40,0,0,0,1,0.0,Electronics,Mobile,New,High
41,0,0,0,1,0.0,Electronics,Mobile,Returning,Medium
42,1,1,1,1,401.0,Electronics,Mobile,Returning,Medium
43,1,1,1,1,455.0,Fashion,Desktop,New,Medium
44,1,1,0,1,0.0,Fashion,Tablet,Returning,High
45,0,0,0,1,0.0,Beauty,Tablet,Returning,High
46,0,0,0,1,0.0,Home,Desktop,Returning,Low
47,0,0,0,1,0.0,Beauty,Desktop,Returning,Low
48,1,1,1,1,994.0,Electronics,Desktop,New,High
49,0,0,0,1,0.0,Electronics,Mobile,New,Medium
